date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:15	34854/34854	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Dec%202021%2016:50:00%20GMT	https://uiworkhtml.web.app/order.html	C:/Users/Administrator/Documents/Httrack/aw1o/uiworkhtml.web.app/order.html	(from )
11:50:15	7150/7150	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Dec%202021%2016:50:00%20GMT	https://uiworkhtml.web.app/robots.txt		(from )
11:50:15	161840/161840	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2016:50:00%20GMT	https://uiworkhtml.web.app/assets/cssn/bootstrap.css	C:/Users/Administrator/Documents/Httrack/aw1o/uiworkhtml.web.app/assets/cssn/bootstrap.css	(from https://uiworkhtml.web.app/order.html)
11:50:15	8612/8612	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2016:50:00%20GMT	https://uiworkhtml.web.app/assets/cssn/f-icons.css	C:/Users/Administrator/Documents/Httrack/aw1o/uiworkhtml.web.app/assets/cssn/f-icons.css	(from https://uiworkhtml.web.app/order.html)
11:50:16	50763/50763	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2016:50:00%20GMT	https://uiworkhtml.web.app/assets/cssn/main.css	C:/Users/Administrator/Documents/Httrack/aw1o/uiworkhtml.web.app/assets/cssn/main.css	(from https://uiworkhtml.web.app/order.html)
11:50:16	6960/6960	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2016:50:00%20GMT	https://uiworkhtml.web.app/assets/cssn/flexslider/flexslider.css	C:/Users/Administrator/Documents/Httrack/aw1o/uiworkhtml.web.app/assets/cssn/flexslider/flexslider.css	(from https://uiworkhtml.web.app/order.html)
11:50:17	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/Users/Administrator/Documents/Httrack/aw1o/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://uiworkhtml.web.app/order.html)
11:50:17	7941/7941	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2016:50:00%20GMT	https://uiworkhtml.web.app/assets/cssn/order.css	C:/Users/Administrator/Documents/Httrack/aw1o/uiworkhtml.web.app/assets/cssn/order.css	(from https://uiworkhtml.web.app/order.html)
11:50:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Dec%202021%2006:50:17%20GMT	http://cdn.tutorialjinni.com/twitter-bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/Administrator/Documents/Httrack/aw1o/cdn.tutorialjinni.com/twitter-bootstrap/3.3.7/css/bootstrap.min.7.delayed	(from https://uiworkhtml.web.app/order.html)
11:50:18	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Dec%202021%2006:50:18%20GMT	https://cdn.tutorialjinni.com/twitter-bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/Administrator/Documents/Httrack/aw1o/cdn.tutorialjinni.com/twitter-bootstrap/3.3.7/css/bootstrap.min.8.delayed	(from https://uiworkhtml.web.app/order.html)
11:50:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Dec%202021%2006:50:19%20GMT	http://cdn.tutorialjinni.com/bootstrap-select/1.12.4/css/bootstrap-select.min.css	C:/Users/Administrator/Documents/Httrack/aw1o/cdn.tutorialjinni.com/bootstrap-select/1.12.4/css/bootstrap-select.min.a.delayed	(from https://uiworkhtml.web.app/order.html)
